qid,bm25,reranker,biencoder,query_length,long_query,outcome
639,0.0,0.0,0.0,84,False,All fail
641,0.0,0.0,0.0,121,False,All fail
644,0.0,0.0,0.0,59,False,All fail
649,1.0,1.0,0.3333333333333333,121,False,All succeed
652,0.0,0.0,0.1,62,False,Neural only
659,0.0,0.0,0.0,118,False,All fail
660,0.0,0.0,0.0,158,True,All fail
665,0.0,0.0,0.25,86,False,Neural only
676,0.0,0.0,0.0,63,False,All fail
681,0.0,0.0,0.0,69,False,All fail
682,0.0,1.0,1.0,121,False,Neural only
689,0.0,0.0,0.0,56,False,All fail
693,0.0,0.0,0.0,159,True,All fail
712,0.0,0.0,0.0,155,True,All fail
714,0.0,0.0,0.0,218,True,All fail
722,0.0,0.0,0.0,48,False,All fail
723,0.3333333333333333,0.3333333333333333,0.25,553,True,All succeed
735,0.0,0.0,0.0,392,True,All fail
737,0.0,0.0,0.0,93,False,All fail
749,0.0,0.0,0.0,119,False,All fail
756,0.0,0.125,0.2,153,True,Neural only
761,0.0,0.0,0.0,273,True,All fail
766,0.0,0.0,0.0,171,True,All fail
770,0.0,0.0,0.0,184,True,All fail
773,0.0,0.0,0.0,10,False,All fail
777,0.0,0.0,0.0,223,True,All fail
786,1.0,0.0,0.1111111111111111,122,True,All succeed
813,0.0,0.0,0.0,226,True,All fail
832,0.0,0.0,0.0,52,False,All fail
834,0.0,0.0,0.0,90,False,All fail
836,0.0,0.0,0.0,142,True,All fail
850,0.0,0.0,0.0,88,False,All fail
861,0.0,0.0,0.0,204,True,All fail
865,0.0,0.0,0.0,109,False,All fail
868,0.0,0.0,0.0,130,True,All fail
887,0.0,0.0,0.0,116,False,All fail
888,1.0,0.0,0.1428571428571428,147,True,All succeed
890,0.0,0.0,0.0,168,True,All fail
893,0.0,0.0,0.0,75,False,All fail
895,0.3333333333333333,0.0,0.0,50,False,BM25 only
898,0.0,0.0,1.0,39,False,Neural only
902,0.0,0.0,0.0,50,False,All fail
905,0.0,0.0,0.0,102,False,All fail
906,0.0,0.0,0.0,62,False,All fail
919,0.0,0.0,0.0,136,True,All fail
926,0.0,0.0,0.0,227,True,All fail
934,0.0,0.0,0.0,107,False,All fail
959,0.0,0.0,0.0,165,True,All fail
978,0.0,0.0,0.0,72,False,All fail
985,0.0,0.0,0.0,116,False,All fail
992,0.0,0.0,0.0,140,True,All fail
993,0.0,0.0,0.0,188,True,All fail
998,0.0,0.0,0.0,87,False,All fail
